PlateValue;TimeStamp;ImageList;Infraction;GPS
PH94DEM;[u'2016:12:15 21:52:29', u'2016:12:15 21:52:30', u'2016:12:15 21:52:29'];['G0598076.JPG', 'G0598077.JPG', 'G0598075.JPG'];['001', '001', '001'];[[44.448112899972216, 26.07449659997222], [44.44812209997222, 26.074475499972223], [44.448103999999994, 26.0745165]]
B92INY;[u'2016:12:15 21:50:02', u'2016:12:15 21:50:02'];['G0597782.JPG', 'G0597781.JPG'];['000', '000'];[[44.445038499999995, 26.07830339997222], [44.445056699999995, 26.07831219997222]]
B05JPJ;[u'2016:12:15 21:50:24'];['G0597826.JPG'];['000'];[[44.445504499972216, 26.077029199972223]]
B279TAR;[u'2016:12:15 21:50:23'];['G0597823.JPG'];['002'];[[44.445422199999996, 26.07715209997222]]
IL11DGS;[u'2016:12:15 21:49:48'];['G0597753.JPG'];['001'];[[44.44543649997222, 26.0778171]]
VN21S0M;[u'2016:12:15 21:50:26'];['G0597829.JPG'];['000'];[[44.44558399997222, 26.07690619997222]]
B072019;[u'2016:12:15 21:52:18', u'2016:12:15 21:52:19'];['G0598054.JPG', 'G0598055.JPG'];['000', '000'];[[44.44789759997222, 26.07503679997222], [44.447908999999996, 26.075001]]
B35HIR;[u'2016:12:15 21:46:12'];['G0587657.JPG'];['000'];[[44.445961499999996, 26.07706699997222]]
IF07DMD;[u'2016:12:15 21:52:18', u'2016:12:15 21:52:18'];['G0598053.JPG', 'G0598053.JPG'];['001', '001'];[[44.447888799999994, 26.075065899972223], [44.447888799999994, 26.075065899972223]]
B118AXS;[u'2016:12:15 21:52:21'];['G0598059.JPG'];['001'];[[44.447956999999995, 26.074862199972223]]
B113DDT;[u'2016:12:15 21:46:04'];['G0587640.JPG'];['000'];[[44.446018099999996, 26.0770808]]
B12KIZ;[u'2016:12:15 21:50:18'];['G0597814.JPG'];['000'];[[44.44517989997222, 26.07751389997222]]
B04KJM;[u'2016:12:15 21:50:12'];['G0597801.JPG'];['001'];[[44.444889599999996, 26.07796809997222]]
B96DTM;[u'2016:12:15 21:46:12'];['G0587656.JPG'];['002'];[[44.44596889997222, 26.0770623]]
BC39R0C;[u'2016:12:15 21:52:25'];['G0598067.JPG'];['000'];[[44.44803129997222, 26.07468019997222]]
B17XMY;[u'2016:12:15 21:52:25', u'2016:12:15 21:52:29', u'2016:12:15 21:52:26', u'2016:12:15 21:52:27', u'2016:12:15 21:52:25', u'2016:12:15 21:52:27', u'2016:12:15 21:52:26', u'2016:12:15 21:52:29'];['G0598067.JPG', 'G0598076.JPG', 'G0598070.JPG', 'G0598071.JPG', 'G0598068.JPG', 'G0598072.JPG', 'G0598069.JPG', 'G0598075.JPG'];['000', '000', '000', '000', '000', '000', '000', '000'];[[44.44803129997222, 26.07468019997222], [44.448112899972216, 26.07449659997222], [44.448057899999995, 26.07462119997222], [44.44806869999999, 26.074597699999998], [44.4480395, 26.07466159997222], [44.448076799999996, 26.0745788], [44.448049299999994, 26.074639699972224], [44.448103999999994, 26.0745165]]
B54ZWH;[u'2016:12:15 21:49:56', u'2016:12:15 21:49:57', u'2016:12:15 21:49:57'];['G0597769.JPG', 'G0597771.JPG', 'G0597772.JPG'];['001', '001', '001'];[[44.445232099972216, 26.07816869997222], [44.44520299997222, 26.07820979997222], [44.44518839997222, 26.0782297]]
B15DEN;[u'2016:12:15 21:51:44', u'2016:12:15 21:51:45', u'2016:12:15 21:51:44'];['G0597986.JPG', 'G0597988.JPG', 'G0597985.JPG'];['000', '000', '000'];[[44.447182299999994, 26.0758012], [44.447206899972215, 26.075834099999998], [44.4471688, 26.0757845]]
B889PRV;[u'2016:12:15 21:49:51'];['G0597760.JPG'];['001'];[[44.445336299999994, 26.0779767]]
B776EDI;[u'2016:12:15 21:50:20', u'2016:12:15 21:50:20'];['G0597817.JPG', 'G0597817.JPG'];['000', '000'];[[44.44525719999999, 26.07739619997222], [44.44525719999999, 26.07739619997222]]
B350LEA;[u'2016:12:15 21:52:22'];['G0598061.JPG'];['001'];[[44.44797779997222, 26.07480699997222]]
B78YS0;[u'2016:12:15 21:50:26'];['G0597829.JPG'];['000'];[[44.44558399997222, 26.07690619997222]]
B776EDA;[u'2016:12:15 21:50:20', u'2016:12:15 21:50:20'];['G0597818.JPG', 'G0597818.JPG'];['002', '002'];[[44.445286499999995, 26.0773519], [44.445286499999995, 26.0773519]]
B37WXV;[u'2016:12:15 21:52:15'];['G0598047.JPG'];['000'];[[44.4478346, 26.0752445]]
